movie_name,movie_rating,movie_rating_number,movie_year,movie_director,movie_writer_name,movie_selection1_actor
"巨齿鲨 / 极悍巨鲨(港) / 麦格
",5.8,(102042人评价),-2018,乔·德特杜巴,"迪恩·乔格瑞斯
乔·霍贝尔
埃里希·霍贝尔
史蒂夫·艾尔顿","杰森·斯坦森
李冰冰
雷恩·威尔森
鲁比·罗丝
赵文瑄
佩吉·肯尼迪
杰西卡·麦克娜美
奥拉维尔·达里·奥拉夫松
罗伯特·泰勒
蔡书雅
丘增
克利夫·柯蒂斯
安佑森
罗伯·基帕-威廉姆斯
维他亚·潘斯林加姆
安得烈·格兰杰
蒂姆·王
史蒂文·A·戴维斯
托万达·马尼莫
买红妹
更多..."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
碟中谍6：全面瓦解 / 碟中谍6 / 不可能的任务：全面瓦解(台),8.2,(241692人评价),-2018,克里斯托弗·麦奎里,"克里斯托弗·麦奎里
布鲁斯·盖勒","汤姆·克鲁斯
亨利·卡维尔
文·瑞姆斯
西蒙·佩吉
丽贝卡·弗格森
西恩·哈里斯
安吉拉·贝塞特
凡妮莎·柯比
米歇尔·莫纳汉
韦斯·本特利
费雷德里克·施密特
亚历克·鲍德温
杨亮
克里斯托弗·琼勒
沃尔夫·布利策
拉斐尔·琼勒
安德鲁·卡扎纳夫·平
克里斯多夫·德·舒瓦西
拉裴尔·德普雷
让·巴普蒂斯特·菲永
马克斯·盖勒
奥利维尔·体班德
亚历山大·普尔
阿利克斯·贝纳泽什
乔伊·安沙
维利贝·托皮奇
格雷厄姆·福克斯
卡斯珀·菲利普森
菲恩·乔利
鲁斯·贝恩
奈杰尔·艾伦"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
解除好友2：暗网 / 杀讯2(台),7.9,(42547人评价),-2018,斯蒂芬·思科,斯蒂芬·思科,"科林·伍德尔
斯蒂芬妮·诺格拉斯
瑞贝卡·瑞滕豪斯
安德鲁斯·李斯
贝蒂·加布里埃尔
康纳·戴尔·里奥
萨维拉·温蒂亚尼
切尔西·阿尔登
道格拉斯·泰特
阿什顿·斯迈利
阿历萨·芒索"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
特工 / 北风(台) / 北寒谍战(港),8.3,(21696人评价),-2018,尹钟彬,尹钟彬,"黄政民
李星民
赵震雄
朱智勋"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
